id,parent_id,name,icon,label,badge,active,right_icon,path,remark
1,0,Incoming,fa-brands fa-accessible-icon,FALSE,0,0,,/,Gratitude amplifies joy.
2,0,Ougoing,fa-brands fa-accusoft,FALSE,0,0,,javascript:;,Knowledge is power.
3,0,Import,fa-solid fa-address-book,FALSE,0,0,,javascript:;,Hope lights the way.
4,0,Export,fa-regular fa-address-book,FALSE,0,0,,javascript:;,Failure is a stepping stone.
5,0,Finance,fa-solid fa-address-card,FALSE,0,0,,javascript:;,Time waits for no one.
6,0,Sitatext,fa-regular fa-address-card,FALSE,0,0,,javascript:;,Love heals all wounds.
7,0,Custom,fa-brands fa-app.net,FALSE,0,0,,javascript:;,Success requires effort.
8,0,Master,fa-brands fa-adversal,FALSE,0,0,,javascript:;,Happiness comes from within.
9,3,Checker,fa-brands fa-affiliatetheme,FALSE,0,0,,javascript:;,Every moment is precious.
10,9,Breakdown,fa-brands fa-airbnb,FALSE,0,0,,javascript:;,Knowledge is power.
11,10,Button,fa-brands fa-algolia,FALSE,0,0,,javascript:;,Happiness comes from within.
12,10,Header,fa-solid fa-align-center,FALSE,0,0,,javascript:;,Time waits for no one.
13,10,Detail,fa-solid fa-align-justify,FALSE,0,0,,javascript:;,Love heals all wounds.
14,11,Save,fa-solid fa-align-left,FALSE,0,0,,javascript:;,Hope lights the way.
15,11,Print,fa-solid fa-align-right,FALSE,0,0,,javascript:;,Love heals all wounds.
16,11,Void,fa-brands fa-alipay,FALSE,0,0,,javascript:;,Hard work beats talent.
17,11,New,fa-brands fa-amazon,FALSE,0,0,,javascript:;,Dream big and work hard.
18,11,Find,fa-brands fa-amazon-pay,FALSE,0,0,,javascript:;,Imagination fuels innovation.
19,12,Breakdown #,fa-brands fa-amilia,FALSE,0,0,,javascript:;,Life is a journey.
20,12,Date Flight,fa-solid fa-anchor,FALSE,0,0,,javascript:;,Knowledge is power.
21,12,Airlines,fa-solid fa-anchor-circle-check,FALSE,0,0,,javascript:;,Kindness costs nothing.
22,12,Route,fa-solid fa-anchor-circle-exclamation,FALSE,0,0,,javascript:;,Love heals all wounds.
23,12,Flights #,fa-solid fa-anchor-circle-xmark,FALSE,0,0,,javascript:;,Kindness costs nothing.
24,12,Manifest,fa-solid fa-anchor-lock,FALSE,0,0,,javascript:;,Hope lights the way.
25,12,Supervisor,fa-brands fa-android,FALSE,0,0,,javascript:;,Every moment is precious.
26,13,AWB#,fa-brands fa-angellist,FALSE,0,0,,javascript:;,Kindness costs nothing.
27,13,No. Pos,fa-solid fa-angle-down,FALSE,0,0,,javascript:;,Kindness costs nothing.
28,13,Pcs,fa-solid fa-angle-left,FALSE,0,0,,javascript:;,Hope lights the way.
29,13,WEight,fa-solid fa-angle-right,FALSE,0,0,,javascript:;,Peace starts from the heart.
30,13,Volume,fa-solid fa-angle-up,FALSE,0,0,,javascript:;,Love heals all wounds.
31,13,Nature of Good,fa-solid fa-angles-down,FALSE,0,0,,javascript:;,Change begins with you.
32,13,ULD/Bulk,fa-solid fa-angles-left,FALSE,0,0,,javascript:;,Patience leads to wisdom.
33,13,Remarks,fa-solid fa-angles-right,FALSE,0,0,,javascript:;,Kindness costs nothing.
34,9,OB/PLP,fa-solid fa-angles-up,FALSE,0,0,,javascript:;,Knowledge is power.
35,34,Header,fa-brands fa-angry-creative,FALSE,0,0,,javascript:;,Love heals all wounds.
36,34,Detail ,fa-brands fa-angular,FALSE,0,0,,javascript:;,Happiness comes from within.
37,34,Button,fa-solid fa-ankh,FALSE,0,0,,javascript:;,Believe in yourself.
38,35,Warehouse Operator,fa-brands fa-app-store,FALSE,0,0,,javascript:;,Happiness comes from within.
39,35,Date Overbringin,fa-brands fa-ios-app-store,FALSE,0,0,,javascript:;,Kindness costs nothing.
40,35,Time Overbringin,fa-brands fa-apper-systems-ab,FALSE,0,0,,javascript:;,Optimism breeds success.
41,35,Supervisor,fa-brands fa-apple,FALSE,0,0,,javascript:;,Love heals all wounds.
42,35,Breakdown,fa-brands fa-apple-pay,FALSE,0,0,,javascript:;,Hope lights the way.
43,36,Flight,fa-solid fa-apple-whole,FALSE,0,0,,javascript:;,Patience leads to wisdom.
44,36,Airlines,fa-solid fa-archway,FALSE,0,0,,javascript:;,Happiness comes from within.
45,36,Pcs,fa-solid fa-building,FALSE,0,0,,javascript:;,Patience leads to wisdom.
46,36,WEight,fa-regular fa-building,FALSE,0,0,,javascript:;,Love heals all wounds.
47,36,Volume,fa-solid fa-building-circle-arrow-right,FALSE,0,0,,javascript:;,Love heals all wounds.
48,36,MAWB - HAWB,fa-solid fa-building-circle-check,FALSE,0,0,,javascript:;,Every moment is precious.
49,36,Origin,fa-solid fa-building-circle-exclamation,FALSE,0,0,,javascript:;,Optimism breeds success.
50,36,Nature of Good,fa-solid fa-building-circle-xmark,FALSE,0,0,,javascript:;,Change begins with you.
51,36,ULD/Bulk,fa-solid fa-building-columns,FALSE,0,0,,javascript:;,Success requires effort.
52,36,Remarks,fa-solid fa-building-flag,FALSE,0,0,,javascript:;,Optimism breeds success.
53,37,Find,fa-solid fa-building-lock,FALSE,0,0,,javascript:;,Time waits for no one.
54,37,New,fa-solid fa-building-ngo,FALSE,0,0,,javascript:;,Change begins with you.
55,37,Print,fa-solid fa-building-shield,FALSE,0,0,,javascript:;,Life is a journey.
56,37,Void,fa-solid fa-building-un,FALSE,0,0,,javascript:;,Optimism breeds success.
57,37,Save,fa-solid fa-building-user,FALSE,0,0,,javascript:;,Courage conquers fear.
58,37,Exit,fa-solid fa-building-wheat,FALSE,0,0,,javascript:;,Believe in yourself.
59,9,Irregularities,fa-solid fa-bullhorn,FALSE,0,0,,javascript:;,Courage conquers fear.
60,59,Header,fa-solid fa-bullseye,FALSE,0,0,,javascript:;,Love heals all wounds.
